adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/oE6bhqqVFyIECtBzqIuvh6JdaB5.jpg,"[878, 18, 12]",522402,en,Finch,"On a post-apocalyptic Earth, a robot, built to protect the life of his dying creator's beloved dog, learns about life, love, friendship, and what it means to be human.",28.363,/jKuDyqx7jrjiR9cDzB5pxzhJAdv.jpg,2021-11-04,Finch,False,7.859,3576
False,/rlNnwObbMu5G2FaOUlacnUIdIIA.jpg,"[16, 14, 28, 10770]",726684,fr,"Miraculous World : Shanghai, la légende de Ladydragon","On school break, Marinette heads to Shanghai to meet Adrien. But after arriving, Marinette loses all her stuff, including the Miraculous that allows her to turn into Ladybug!",36.858,/qQ0VKsGRQ2ofAmswGNzZnvC1xPE.jpg,2021-05-15,Miraculous World: Shanghai – The Legend of Ladydragon,False,7.888,646
False,/8wjJZ2kloq4cZ0Yedh8AuVjSTlY.jpg,"[18, 10749, 35]",662237,ko,새콤달콤,"Faced with real-world opportunities and challenges, a couple endures the highs and lows of trying to make a long-distance relationship survive.",38.828,/3yGwAPl6LWpi8QwHjwCMaqsPgNB.jpg,2021-06-04,Sweet & Sour,False,7.797,202
False,/32yqxyLlWcO81UCx51Jfq9aeJdA.jpg,"[53, 9648, 27]",631843,en,Old,A group of families on a tropical holiday discover that the secluded beach where they are staying is somehow causing them to age rapidly – reducing their entire lives into a single day.,33.045,/vclShucpUmPhdAOmKgf3B3Z4POD.jpg,2021-07-21,Old,False,6.3,4486
False,/he4OPeNneDVUF66UsbTeOXZOF9y.jpg,[18],826945,ko,자매 바이러스,"Hyeong-woo is forced to be quarantined with her sisters-in-law for 21 days due to the new virus. Hyeong-woo, who remains with his sister-in-law is shaken by the temptation of prohibition. Eventually, the virus spreads and becomes the beginning of human extinction. However, rumors are circulating that sharing forbidden love can amplify the energy and defeat the new virus, which they cannot help but believe. Their own sex, which began like that, makes them forget even the fear of the virus and makes them unable to break up.",26.334,/gSvLzCvjA8nVWE3vywODTPQfNei.jpg,2021-02-24,Sisters Virus,False,3.0,2
False,/v85FlkbMYKa5du1glm0YfYNsL2n.jpg,"[18, 10402, 10749]",776503,en,CODA,"As a CODA (Child of Deaf Adults), Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music and her fear of abandoning her parents.",36.013,/BzVjmm8l23rPsijLiNLUzuQtyd.jpg,2021-08-13,CODA,False,7.937,2279
False,/wfrfxivLOBtGMC98tIr2LSOeKSe.jpg,"[16, 10751, 35, 14, 12]",639721,en,The Addams Family 2,The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.,32.914,/ld7YB9vBRp1GM1DT3KmFWSmtBPB.jpg,2021-10-01,The Addams Family 2,False,7.0,1307
False,/6VZF8JVNOgJX56WCapYaqcVQiAw.jpg,"[36, 18, 80]",644495,en,House of Gucci,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel the family legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately… murder.",28.41,/oJCQjD2byiVF1EG408F9dBn9ndU.jpg,2021-11-24,House of Gucci,False,6.6,3141
False,/4BOgSGwEEHZuDhiHUOsrXaJBqoc.jpg,"[36, 18, 28]",617653,en,The Last Duel,"King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire, Jacques Le Gris, by challenging him to a duel.",33.137,/zjrJE0fpzPvX8saJXj8VNfcjBoU.jpg,2021-10-13,The Last Duel,False,7.4,3412
False,/g15PR8eQV9DehSWlagvdnJZqoRq.jpg,"[27, 9648]",602734,en,Spiral: From the Book of Saw,"Working in the shadow of an esteemed police veteran, brash Detective Ezekiel “Zeke” Banks and his rookie partner take charge of a grisly investigation into murders that are eerily reminiscent of the city’s gruesome past.  Unwittingly entrapped in a deepening mystery, Zeke finds himself at the center of the killer’s morbid game.",30.818,/cTvSDfBuXTZTdRCNduGMANd7VEP.jpg,2021-05-12,Spiral: From the Book of Saw,False,5.952,2052
False,/1EAxNqdkVnp48a7NUuNBHGflowM.jpg,"[16, 28, 878, 18]",283566,ja,シン・エヴァンゲリオン劇場版:||,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each lives a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.",30.264,/md5wZRRj8biHrGtyitgBZo7674t.jpg,2021-03-08,Evangelion: 3.0+1.0 Thrice Upon a Time,False,8.2,822
False,/nYQ0fT0xg4HeGWiXGuwSldJNAsJ.jpg,"[35, 10749]",347626,en,He's All That,"To get revenge on her ex-boyfriend, an influencer attempts to transform an unpopular classmate into prom king.",29.25,/kW3AG5NHoyq52dcSbMiFB6LyHvk.jpg,2021-08-27,He's All That,False,6.536,1382
False,/yO2LFaO62SoM1ZuOq26hWLF1TQ4.jpg,"[27, 9648, 53]",740925,en,No One Gets Out Alive,An immigrant in search of the American dream is forced to take a room in a boarding house and soon finds herself in a nightmare from which she can't escape.,36.744,/bZUostLcCZYgcuBuAjmuSkBggiQ.jpg,2021-09-29,No One Gets Out Alive,False,5.866,646
False,/nvxrQQspxmSblCYDtvDAbVFX8Jt.jpg,"[35, 878, 18]",646380,en,Don't Look Up,Two astronomers go on a media tour to warn humankind of a planet-killing comet hurtling toward Earth. The response from a distracted world: Meh.,33.072,/th4E1yqsE8DGpAseLiUrI60Hf8V.jpg,2021-12-08,Don't Look Up,False,7.079,8370
False,/3R5f4972Iu2qsc5rRryNdd3T6wq.jpg,"[16, 878, 10751, 35]",482321,en,Ron's Gone Wrong,"In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.",31.74,/plzgQAXIEHm4Y92ktxU6fedUc0x.jpg,2021-10-14,Ron's Gone Wrong,False,7.898,1874
False,/5HjzYTihkH7EvOWSE7KcsF6pBMM.jpg,"[10751, 12, 16]",522478,en,Peter Rabbit 2: The Runaway,"Peter Rabbit runs away from his human family when he learns they are going to portray him in a bad light in their book. Soon, he crosses paths with an older rabbit who ropes him into a heist.",28.914,/cycDz68DtTjJrDJ1fV8EBq2Xdpb.jpg,2021-03-25,Peter Rabbit 2: The Runaway,False,7.1,809
False,/yd2xws5wVT2Ss6f0Q0oTkdYtiQE.jpg,"[16, 35, 10751, 12]",664236,en,Extinct,"Op and Ed, two adorable donut-shaped animals - flummels - accidentally time-travel from 1835 to modern-day Shanghai.  There they discover traffic, trans fats, and worst of all, that flummels are now extinct. It's up to this bumbling pair to save themselves and their species...and, just maybe, change the course of history.",18.463,/kchu0regBPDjWORUzvTblyoA5aE.jpg,2021-02-11,Extinct,False,6.2,169
False,/gjq5xQuluKEupimlqwCyaUbOCi9.jpg,"[18, 27, 9648, 53]",547565,en,The Night House,"Reeling from the unexpected death of her husband, Beth is left alone in the lakeside home he built for her. Soon she begins to uncover her recently deceased husband's disturbing secrets.",26.834,/rqs2CXpc4d5FzeP1EZCYItAVo81.jpg,2021-07-15,The Night House,False,6.6,1150
False,/lQYIamZ7SZR4Ufq7mKUwPZtBYWL.jpg,[18],852370,ko,아이돌 승하의 19금 AV를 찍자,"Film producer Na-eun and director Yeong-tae are on the verge of shelving out cash for an adult film production. They're too busy blaming each other for the messed-up filming. Before another filming begins, Na-eun suggests Yeong-tae to become an actor himself and practice filming. Na-eun leads the shy Yeong-tae very skillfully. How far will the practice go...?",26.58,/4CVYNzGwTMgOKxycg2LQO9slwfH.jpg,2021-06-24,Idol Seungha's R-Rated Film Shooting,False,6.5,42
False,/s1ohP4iE2Lg2TVBJILOkbTsGGgu.jpg,"[18, 28, 53]",630004,en,Way Down,"Madrid, Spain, 2010. While the whole city follows the national team's successful participation in the World Cup, a group of daring thieves look for a way into one of the most secure and guarded places on the planet.",29.049,/kWhXubAiIcHW0xn5GThflqaKZqh.jpg,2021-03-04,The Vault,False,6.81,962
False,/pUc51UUQb1lMLVVkDCaZVsCo37U.jpg,"[53, 27]",482373,en,Don't Breathe 2,"The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.",32.782,/r7HEBkkRN93d3eFBZgPJfRaob5p.jpg,2021-08-12,Don't Breathe 2,False,7.05,2591
False,/mG6idJ78OCxdqn3AccqqeuJ9Nph.jpg,"[18, 10751]",938086,ko,위험한 사촌동생,"Hyang-gi hates her mother who only likes men and doesn't take care of herself. She brings a man to her house to sleep over so her mom will find her crooked. To correct Hyang-gi, she asked Do-hwan, Hyang-gi’s cousin, to live with her at home for a while. Hyang-gi and Do-hwan, who were reunited as adults, grew very attracted to each other. Chae-kyeong, Do-hwan's girlfriend, finds out about it. After revealing the truth in front of everyone, Hyang-gi and Do-hwan are on the verge of breaking up.",26.325,/pwdWFhhdfzNFCUnlZsiz2MfWv37.jpg,2021-11-23,Dangerous Younger Cousin,False,10.0,2
False,/u8VBaEESHAAc5tDWFc8IjXHw1eC.jpg,"[35, 18, 10749]",936621,ko,물오징어6969,"Three married women had always been dissatisfied sexually with their husbands, and Hyoji, who recently divorced due to her husband's erectile dysfunction. They gathered after a long time and had a drink complaining to each other, and they received a business card from an unidentified handsome man, saying, ""Don't you want to play tteok pounding game?"" The four of them head to the meeting place and meet suspicious agents who were waiting for them.",366.9,/dgSR6qBiQSqaa9QfSMiODAEOF3O.jpg,2022-01-27,Sex Game 6969,False,5.477,22
False,/8wwXPG22aNMpPGuXnfm3galoxbI.jpg,"[28, 12, 10751, 35]",675353,en,Sonic the Hedgehog 2,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",336.055,/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg,2022-03-30,Sonic the Hedgehog 2,False,7.486,5281
False,/zBG5Mg29NH9xxpWMMG7BIvKwYhL.jpg,"[10749, 18]",829557,pl,365 dni: Ten dzień,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",270.975,/7qU0SOVcQ8BTJLodcAlulUAG16C.jpg,2022-04-26,365 Days: This Day,False,5.901,1609
False,/AaV1YIdWKnjAIAOe8UUKBFm327v.jpg,"[28, 18]",361743,en,Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",183.215,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,2022-05-21,Top Gun: Maverick,False,8.2,9503
False,/8rpDcsfLJypbO6vREc0547VKqEv.jpg,"[878, 12, 28]",76600,en,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",170.067,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,2022-12-14,Avatar: The Way of Water,False,7.612,12196
False,/jr8tSoJGj33XLgFBy6lmZhpGQNu.jpg,"[16, 12, 14, 35, 10751]",315162,en,Puss in Boots: The Last Wish,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",154.471,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,2022-12-07,Puss in Boots: The Last Wish,False,8.2,7972
False,/88J3AZ8R5U4JZqE9luHyR8bhsyz.jpg,"[27, 53, 35, 9648]",942890,en,House of Darkness,"Driving home to her secluded estate after meeting at a local bar, a player out to score thinks his beautiful, mysterious date will be another casual hook-up. While getting acquainted, their flirtation turns playful, sexy and sinister. Hoping to get lucky, his luck may have just run out.",145.973,/1udlXpDFZ4Rc52cX4jmYlOzQecH.jpg,2022-09-09,House of Darkness,False,5.066,113
False,/6cpRpfD3isvluFwXDGSiDVyibPJ.jpg,"[10749, 18]",829560,pl,Kolejne 365 dni,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues while a tenacious Nacho works to push them apart.,144.12,/5r9RI0IqztfZJ4C4uSdyoiFYvOB.jpg,2022-08-18,The Next 365 Days,False,6.4,1149
False,/4rsomWxlqnHt3muGYK06auhOib6.jpg,"[10749, 18, 35]",818647,es,A través de mi ventana,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",123.217,/jmkpZvMVIRrMFevxzOubSBfG0s0.jpg,2022-02-04,Through My Window,False,7.382,3178
False,/b0PlSFdDwbyK0cf5RxwDpaOJQvQ.jpg,"[80, 9648, 53]",414906,en,The Batman,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",118.556,/74xTEgt7R36Fpooo50r9T25onhq.jpg,2022-03-01,The Batman,False,7.7,10596
False,/9eAn20y26wtB3aet7w9lHjuSgZ3.jpg,"[12, 28, 878]",507086,en,Jurassic World Dominion,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures.",115.482,/jbAvCACjLf1ZG0unB2tdmx5HAf1.jpg,2022-06-01,Jurassic World Dominion,False,6.7,6204
False,/3NLczZ7sSIKoe3jLlH9yOfdqUcF.jpg,"[10749, 18]",851644,ko,20세기 소녀,"In 1999, a teen girl keeps close tabs on a boy in school on behalf of her deeply smitten best friend – then she gets swept up in a love story of her own.",103.342,/dbhk3PV7TmaL0FcelsArLFW0rRO.jpg,2022-10-06,20th Century Girl,False,8.2,707
False,/fOy2Jurz9k6RnJnMUMRDAgBwru2.jpg,"[16, 10751, 35, 14]",508947,en,Turning Red,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",98.276,/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg,2022-03-10,Turning Red,False,7.4,5300
False,/iryef4LKiPQkvhNJS1EtLlay3br.jpg,"[28, 9648, 53, 878]",615173,ko,마녀 2,"A girl wakes up in a huge secret laboratory, then accidentally meets another girl who is trying to protect her house from a gang. The mystery girl overthrows the gang with her unexpected powers, and laboratory staff set out to find her.",95.24,/9YTuscJXmr9Iua62amCgGSU8PDW.jpg,2022-06-15,The Witch: Part 2. The Other One,False,7.284,329
False,/kMZIMqEXO5MFd5Y1Ha2jZZF4pvF.jpg,"[27, 9648]",882598,en,Smile,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.",91.189,/aPqcQwu4VGEewPhagWNncDbJ9Xp.jpg,2022-09-23,Smile,False,6.664,3427
False,/iKUwhA4DUxMcNKu5lLSbDFwwilk.jpg,"[14, 28, 12]",453395,en,Doctor Strange in the Multiverse of Madness,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",90.315,/ddJcSKbcp4rKZTmuyWaMhuwcfMz.jpg,2022-05-04,Doctor Strange in the Multiverse of Madness,False,7.271,9315
False,/fiKxHSBFehZ3cImlz2YanWpreOv.jpg,"[16, 18, 14]",588555,pt,Os Demónios do Meu Avô,"Rosa's life, a highly valued professional, is turned upside down when her grandfather Marcelino dies.",85.787,/fPoUd6lm011MUCH54aNeMsDJl7z.jpg,2022-09-21,My Grandfather's Demons,False,5.7,31
False,/1TFGeabUdRitRwjeJbXeGUcDEoJ.jpg,"[16, 18, 10749, 14]",916192,ja,夏へのトンネル、さよならの出口,"Urashima Tunnel – Once you enter that tunnel, you can get whatever you want, but at a price. Kaoru Tohno, who seems to have an elusive personality and traumatic past, and Anzu Hanashiro, who is struggling to reconcile her ideal image and true-to-heart attitude, team up to investigate the Urashima Tunnel and get what they want. This is an unforgettable summer story of nostalgia and sprinting in a remote countryside.",83.877,/5AGA6pbBKXZTI8k1c6odx30JuQR.jpg,2022-09-09,"The Tunnel to Summer, the Exit of Goodbyes",False,7.8,190
False,/2QR0OpYzPFG84EswxENqcPuHmP.jpg,[10752],1041317,en,Battle for the Western Front,"Inspired by Canuck WWI flying ace Billy Bishop, two young soldiers crash the front lines in August 1918. With the Allies detained, their platoon must desperately hold out alongside legendary Anishinaabe sniper Francis ""Peggy"" Pegahmagabow.",83.2,/oICQpXrmszXvw0t95isR559J6IL.jpg,2022-10-06,Battle for the Western Front,False,6.065,23
False,/7ZP8HtgOIDaBs12krXgUIygqEsy.jpg,"[878, 28, 14, 12]",601796,ko,외계+인 1부,"Gurus in the late Goryeo dynasty try to obtain a fabled, holy sword, and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.",81.621,/8QVDXDiOGHRcAD4oM6MXjE0osSj.jpg,2022-07-20,Alienoid,False,6.823,451
False,/jsoz1HlxczSuTx0mDl2h0lxy36l.jpg,"[14, 28, 35]",616037,en,Thor: Love and Thunder,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",79.26,/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,2022-07-06,Thor: Love and Thunder,False,6.4,7709
False,/iryef4LKiPQkvhNJS1EtLlay3br.jpg,"[28, 9648, 53, 878]",615173,ko,마녀 2,"A girl wakes up in a huge secret laboratory, then accidentally meets another girl who is trying to protect her house from a gang. The mystery girl overthrows the gang with her unexpected powers, and laboratory staff set out to find her.",95.24,/9YTuscJXmr9Iua62amCgGSU8PDW.jpg,2022-06-15,The Witch: Part 2. The Other One,False,7.284,329
False,/vgatT6hiEf4EquZ1k0uU1Ft5XdI.jpg,"[53, 28, 878]",766507,en,Prey,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",78.184,/jOeLL5Y3iZYYOVTwyzniZqHia1m.jpg,2022-08-02,Prey,False,7.7,6823
False,/2QR0OpYzPFG84EswxENqcPuHmP.jpg,[10752],1041317,en,Battle for the Western Front,"Inspired by Canuck WWI flying ace Billy Bishop, two young soldiers crash the front lines in August 1918. With the Allies detained, their platoon must desperately hold out alongside legendary Anishinaabe sniper Francis ""Peggy"" Pegahmagabow.",83.2,/oICQpXrmszXvw0t95isR559J6IL.jpg,2022-10-06,Battle for the Western Front,False,6.065,23
False,/xkXsV1WOiKfAJ6dzXiavdwsZ3E2.jpg,"[28, 53, 27, 80]",799379,ko,늑대사냥,"While under heavily armed guard, the dangerous convicts aboard a cargo ship unite in a coordinated escape attempt that soon escalates into a bloody, all-out riot. But as the fugitives continue their brutal campaign of terror, they soon discover that not even the most vicious among them is safe from the horror they unknowingly unleashed from the darkness below deck.",65.92,/dniWicB6fa7NvpGbguxWlNPMc5f.jpg,2022-09-21,Project Wolf Hunting,False,6.4,367
False,/sKvQUSyqsFq8e1ts6oo3Xp3dPH2.jpg,"[16, 12, 35, 14]",585511,en,Luck,"Suddenly finding herself in the never-before-seen Land of Luck, the unluckiest person in the world must unite with the magical creatures there to turn her luck around.",80.602,/9OpVlfJGNvX3lUqdzY0nGoA6wQa.jpg,2022-08-05,Luck,False,7.787,1746
False,/1DBDwevWS8OhiT3wqqlW7KGPd6m.jpg,[53],985939,en,Fall,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",77.2,/v28T5F1IygM8vXWZIycfNEm3xcL.jpg,2022-08-11,Fall,False,7.151,4005
False,/2Ft4xmWa1Edgj2P1OYmoSAoYRqz.jpg,"[27, 53]",663712,en,Terrifier 2,"A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",72.099,/qEAlwXbYk6IHA4ztoS2XFFaa7Xo.jpg,2022-10-06,Terrifier 2,False,6.732,2168
